age_ka,d18Ow_IV,SL_m
39758,-0.978,65.1
39757,-0.978,65.1
39756,-0.978,65.1
39755,-0.978,65.1
39754,-0.978,65.1
39753,-0.978,65.1
39752,-0.978,65.1
39751,-0.978,65.1
39750,-0.978,65.1
39749,-0.978,65.1
39748,-0.978,65.1
39747,-0.978,65.1
39746,-0.978,65.1
39745,-0.978,65.1
39744,-0.978,65.1
39743,-0.978,65.1
39742,-0.978,65.1
39741,-0.978,65.1
39740,-0.978,65.1
39739,-0.978,65.1
39738,-0.978,65.1
39737,-0.978,65.1
39736,-0.978,65.1
39735,-0.978,65.1
39734,-0.978,65.1
39733,-0.978,65.1
39732,-0.978,65.1
39731,-0.978,65.1
39730,-0.978,65.1
39729,-0.978,65.1
39728,-0.978,65.1
39727,-0.978,65.1
39726,-0.978,65.1
39725,-0.978,65.1
39724,-0.978,65.1
39723,-0.978,65.1
39722,-0.978,65.1
39721,-0.978,65.1
39720,-0.978,65.1
39719,-0.978,65.1
39718,-0.978,65.1
39717,-0.978,65.1
39716,-0.978,65.1
39715,-0.978,65.1
39714,-0.978,65.1
39713,-0.978,65.1
39712,-0.978,65.1
39711,-0.978,65.1
39710,-0.978,65.1
39709,-0.978,65.1
39708,-0.978,65.1
39707,-0.978,65.1
39706,-0.978,65.1
39705,-0.978,65.1
39704,-0.978,65.1
39703,-0.978,65.1
39702,-0.978,65.1
39701,-0.978,65.1
39700,-0.978,65.1
39699,-0.978,65.1
39698,-0.978,65.1
39697,-0.978,65.1
39696,-0.978,65.1
39695,-0.978,65.1
39694,-0.978,65.1
39693,-0.978,65.1
39692,-0.978,65.1
39691,-0.978,65.1
39690,-0.978,65.1
39689,-0.978,65.1
39688,-0.978,65.1
39687,-0.978,65.1
39686,-0.978,65.1
39685,-0.978,65.1
39684,-0.978,65.1
39683,-0.978,65.1
39682,-0.978,65.1
39681,-0.978,65.1
39680,-0.978,65.1
39679,-0.978,65.1
39678,-0.978,65.1
39677,-0.978,65.1
39676,-0.978,65.1
39675,-0.978,65.1
39674,-0.978,65.1
39673,-0.978,65.1
39672,-0.978,65.1
39671,-0.978,65.1
39670,-0.978,65.1
39669,-0.978,65.1
39668,-0.978,65.1
39667,-0.978,65.1
39666,-0.978,65.1
39665,-0.978,65.1
39664,-0.978,65.1
39663,-0.978,65.1
39662,-0.978,65.1
39661,-0.978,65.1
39660,-0.978,65.1
39659,-0.978,65.1
39658,-0.978,65.1
39657,-0.978,65.1
39656,-0.978,65.1
39655,-0.978,65.1
39654,-0.978,65.1
39653,-0.978,65.1
39652,-0.978,65.1
39651,-0.978,65.1
39650,-0.978,65.1
39649,-0.978,65.1
39648,-0.978,65.1
39647,-0.978,65.1
39646,-0.978,65.1
39645,-0.978,65.1
39644,-0.978,65.1
39643,-0.978,65.1
39642,-0.978,65.1
39641,-0.978,65.1
39640,-0.978,65.1
39639,-0.978,65.1
39638,-0.978,65.1
39637,-0.978,65.1
39636,-0.978,65.1
39635,-0.978,65.1
39634,-0.978,65.1
39633,-0.978,65.1
39632,-0.978,65.1
39631,-0.978,65.1
39630,-0.978,65.1
39629,-0.978,65.1
39628,-0.978,65.1
39627,-0.978,65.1
39626,-0.978,65.1
39625,-0.978,65.1
39624,-0.978,65.1
39623,-0.978,65.1
39622,-0.978,65.1
39621,-0.978,65.1
39620,-0.978,65.1
39619,-0.978,65.1
39618,-0.978,65.1
39617,-0.978,65.1
39616,-0.978,65.1
39615,-0.978,65.1
39614,-0.978,65.1
39613,-0.978,65.1
39612,-0.978,65.1
39611,-0.978,65.1
39610,-0.978,65.1
39609,-0.978,65.1
39608,-0.978,65.1
39607,-0.978,65.1
39606,-0.978,65.1
39605,-0.978,65.1
39604,-0.978,65.1
39603,-0.978,65.1
39602,-0.978,65.1
39601,-0.978,65.1
39600,-0.978,65.1
39599,-0.978,65.1
39598,-0.978,65.1
39597,-0.978,65.1
39596,-0.978,65.1
39595,-0.978,65.1
39594,-0.978,65.1
39593,-0.978,65.1
39592,-0.978,65.1
39591,-0.978,65.1
39590,-0.978,65.1
39589,-0.978,65.1
39588,-0.978,65.1
39587,-0.978,65.1
39586,-0.978,65.1
39585,-0.978,65.1
39584,-0.978,65.1
39583,-0.978,65.1
39582,-0.978,65.1
39581,-0.978,65.1
39580,-0.978,65.1
39579,-0.978,65.1
39578,-0.978,65.1
39577,-0.978,65.1
39576,-0.978,65.1
39575,-0.978,65.1
39574,-0.978,65.1
39573,-0.978,65.1
39572,-0.978,65.1
39571,-0.978,65.1
39570,-0.978,65.1
39569,-0.978,65.1
39568,-0.978,65.1
39567,-0.978,65.1
39566,-0.978,65.1
39565,-0.978,65.1
39564,-0.978,65.1
39563,-0.978,65.1
39562,-0.978,65.1
39561,-0.978,65.1
39560,-0.978,65.1
39559,-0.978,65.1
39558,-0.978,65.1
39557,-0.978,65.1
39556,-0.978,65.1
39555,-0.978,65.1
39554,-0.978,65.1
39553,-0.978,65.1
39552,-0.978,65.1
39551,-0.978,65.1
39550,-0.978,65.1
39549,-0.978,65.1
39548,-0.978,65.1
39547,-0.978,65.1
39546,-0.978,65.1
39545,-0.978,65.1
39544,-0.978,65.1
